name,new_name,original,implemented,orig_type,new_type,new_sub_type,Depricated,converted,loopable,alt,input,intype,output,outtype,listize,extract,field,ftype,ptype,dictize,emit,pdictize
pipetokenizer,tokenizer,TRUE,TRUE,string,processor,transformer,FALSE,TRUE,TRUE,,item,text,items,item,FALSE,None,content,text,pass,TRUE,FALSE,TRUE
pipestrreplace,replace,TRUE,TRUE,string,processor,transformer,FALSE,TRUE,TRUE,,item,text,items,text,FALSE,None,content,text,pass,TRUE,FALSE,TRUE
pipestrtransform,transform,FALSE,TRUE,string,processor,transformer,FALSE,TRUE,TRUE,,item,text,items,text,TRUE,rule,content,text,pass,TRUE,FALSE,TRUE
pipesubelement,subelement,TRUE,TRUE,operator,processor,transformer,FALSE,TRUE,FALSE,,item,feed,items,item,FALSE,None,content,pass,pass,TRUE,FALSE,TRUE
pipesubstr,substr,TRUE,TRUE,string,processor,transformer,FALSE,TRUE,TRUE,,item,text,items,text,FALSE,None,content,text,pass,TRUE,FALSE,TRUE
pipetail,tail,TRUE,TRUE,operator,operator,composer,FALSE,TRUE,FALSE,,items,feed,items,item,FALSE,None,None,pass,pass,TRUE,FALSE,TRUE
pipetextinput,input,TRUE,TRUE,user_input,processor,source,FALSE,TRUE,FALSE,,n/a,n/a,items,text,FALSE,None,None,none,pass,TRUE,FALSE,TRUE
pipetruncate,truncate,TRUE,TRUE,operator,operator,composer,FALSE,TRUE,FALSE,,items,feed,items,item,FALSE,None,None,pass,pass,TRUE,FALSE,TRUE
pipeunion,union,TRUE,TRUE,operator,operator,composer,FALSE,TRUE,FALSE,,items,feed,items,item,FALSE,None,None,pass,pass,FALSE,FALSE,TRUE
pipeuniq,uniq,TRUE,TRUE,operator,operator,composer,FALSE,TRUE,FALSE,,items,feed,items,item,FALSE,uniq_key,None,pass,pass,TRUE,FALSE,TRUE
pipeurlbuilder,urlbuilder,TRUE,TRUE,url,processor,source,FALSE,TRUE,TRUE,,item,mixed,items,url,TRUE,params,None,pass,pass,TRUE,FALSE,TRUE
pipexpathfetchpage,fetchxpath,TRUE,TRUE,source,processor,source,FALSE,TRUE,TRUE,,n/a,n/a,items,item,FALSE,None,None,none,pass,TRUE,FALSE,TRUE
pipeyql,yql,TRUE,TRUE,source,processor,source,FALSE,TRUE,TRUE,,n/a,n/a,items,item,FALSE,None,None,none,pass,TRUE,FALSE,TRUE
pipecreaterss,rssitembuilder,,TRUE,operator,processor,transformer,TRUE,TRUE,,,item,feed,items,item,FALSE,None,None,pass,pass,TRUE,FALSE,TRUE
pipedatebuilder,input,TRUE,TRUE,date,processor,source,TRUE,TRUE,TRUE,,item,mixed,items,datetime,FALSE,None,,pass,,TRUE,FALSE,TRUE
pipedateinput,input,TRUE,TRUE,user_input,processor,source,TRUE,TRUE,FALSE,,item,mixed,items,datetime,FALSE,None,,pass,,TRUE,FALSE,TRUE
pipelocationbuilder,input,TRUE,TRUE,location,processor,source,TRUE,TRUE,TRUE,,item,mixed,items,location,FALSE,None,location,location,pass,TRUE,FALSE,TRUE
pipelocationinput,input,TRUE,TRUE,user_input,processor,source,TRUE,TRUE,FALSE,,item,mixed,items,location,FALSE,None,,pass,,TRUE,FALSE,TRUE
pipenumberinput,input,TRUE,TRUE,user_input,processor,source,TRUE,TRUE,FALSE,,item,mixed,items,number,FALSE,None,,pass,,TRUE,FALSE,TRUE
pipeoutput,output,TRUE,TRUE,output,processor,transformer,TRUE,TRUE,FALSE,,item,feed,items,feed,FALSE,None,,pass,,TRUE,FALSE,TRUE
pipeprivateinput,input,TRUE,TRUE,user_input,processor,source,TRUE,TRUE,FALSE,,flat,text,items,text,FALSE,None,,pass,,TRUE,FALSE,TRUE
pipestrprivate,text,TRUE,TRUE,string,processor,source,TRUE,TRUE,TRUE,,flat,text,items,text,FALSE,None,,pass,,TRUE,FALSE,TRUE
pipestrregex,regex,TRUE,TRUE,string,processor,transformer,TRUE,TRUE,TRUE,piperegex,item,text,items,text,FALSE,None,,pass,,TRUE,FALSE,TRUE
pipeurlinput,input,TRUE,TRUE,user_input,processor,source,TRUE,TRUE,FALSE,,item,mixed,items,url,FALSE,None,,pass,,TRUE,FALSE,TRUE
